[2026-07-18T04:38:51.407Z] GET http://localhost:8811/deck/site/index.html?dw=1 → 200 (9ms, 17133B)
[2026-07-18T04:38:51.430Z] GET https://fonts.googleapis.com/css2?family=Podkova:wght@400;500;600;700;800&family=Inter:ital,wght@0,400;0,500;0,600;0,700;1,400&display=swap → 200 (112ms, 1565B)
[2026-07-18T04:38:51.431Z] GET http://localhost:8811/deck/site/site.css?v=6 → 200 (10ms, 19793B)
[2026-07-18T04:38:51.431Z] GET http://localhost:8811/deck/assets/img/pd-logo.jpg → 200 (10ms, 18619B)
[2026-07-18T04:38:51.431Z] GET http://localhost:8811/deck/site/assets/img/hero-navy.jpg → 404 (15ms, 285B)
[2026-07-18T04:38:51.431Z] GET http://localhost:8811/deck/assets/img/tutu-white.jpg → 200 (14ms, 599398B)
[2026-07-18T04:38:51.431Z] GET http://localhost:8811/deck/assets/img/leap-denim.jpg → 200 (17ms, 500412B)
[2026-07-18T04:38:51.431Z] GET http://localhost:8811/deck/assets/img/instr-lori.jpg → 200 (19ms, 45989B)
[2026-07-18T04:38:51.432Z] GET http://localhost:8811/deck/assets/img/instr-erin.jpg → 200 (16ms, 24601B)
[2026-07-18T04:38:51.432Z] GET http://localhost:8811/deck/assets/img/instr-chadd.jpg → 200 (18ms, 57378B)
[2026-07-18T04:38:51.432Z] GET http://localhost:8811/deck/assets/img/instr-roberta.jpg → 200 (18ms, 50668B)
[2026-07-18T04:38:51.432Z] GET http://localhost:8811/deck/assets/img/ba-ediface-after.jpg → 200 (18ms, 574240B)
[2026-07-18T04:38:51.432Z] GET http://localhost:8811/deck/assets/img/ba-studio-after.jpg → 200 (18ms, 504824B)
[2026-07-18T04:38:51.432Z] GET http://localhost:8811/deck/assets/img/ba-trophy-after.jpg → 200 (19ms, 790877B)
[2026-07-18T04:38:51.432Z] GET http://localhost:8811/deck/assets/img/scorpion-black.jpg → 200 (19ms, 921918B)
[2026-07-18T04:38:51.435Z] GET https://www.google.com/maps?q=Pacific+Dance,+4880+Irvine+Blvd+%23101,+Irvine,+CA+92620&output=embed → 301 (105ms, ?B)
[2026-07-18T04:38:51.439Z] GET http://localhost:8811/deck/assets/video/hero-loop.mp4 → 200 (15ms, 3384514B)
[2026-07-18T04:38:51.540Z] GET https://www.google.com/maps/embed?origin=mfe&pb=!1m2!2m1!1sPacific+Dance,+4880+Irvine+Blvd+%23101,+Irvine,+CA+92620 → 200 (315ms, 1823B)
[2026-07-18T04:38:51.565Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (220ms, 48982B)
